comment_id,author,text,like_count,published_at
UgwMKvtu-VhC0bAcOiF4AaABAg,@twilightfrommlp,"Vro, I can't do this again💔",0,2025-08-31T16:55:37Z
Ugwttv-Knhq-U1nioXl4AaABAg,@Dergray_Sea,YEAH! Fking amazing!,0,2025-08-31T16:55:36Z
UgyPJeDIY5PKLRIMd2B4AaABAg,@abdullahorilonise4048,✋😐🤚 ABSOLUTE CINEMA 😭🔥,1,2025-08-31T16:55:35Z
UgxGhuNVMr5uRx8rW-p4AaABAg,@karatesanta4567,YEEEES WE ARE SO BACK,0,2025-08-31T16:55:35Z
Ugx1c1YDhvVUqeGQdWB4AaABAg,@SirBlocksAlot,i hope gojo vs sukuna is here,1,2025-08-31T16:55:32Z
UgzlR2MkMOqrL1ENhXp4AaABAg,@wolfgangXV,"The animation looks so bad, just like the previous season",0,2025-08-31T16:55:31Z
UgwkxFdi8_TGy3VnPBx4AaABAg,@Till-f2t,WHEN WILL WE GET TO SEE GOJO BODY GETS COLD!?!?,0,2025-08-31T16:55:30Z
UgzRAskY4rxBw6HPV5F4AaABAg,@Тайный-с2с,"С рисовкой всё плохо, так ещё и на части делят сезон. Ожидаем говно",0,2025-08-31T16:55:29Z
UgwtRUoHRR9GIciSx1B4AaABAg,@VivekKhator,Hindi please 🎉,1,2025-08-31T16:55:29Z
Ugy4wI69WdxXG-ZoDKl4AaABAg,@kurokaSOM,So back,0,2025-08-31T16:55:29Z
UgzhJ4mhbsHZrU7MiCl4AaABAg,@amandamakena2325,Ye,0,2025-08-31T16:55:28Z
Ugyd-UmNj0JbSM7GiYR4AaABAg,@Meishufrfr,Its all over the screen,0,2025-08-31T16:55:27Z
UgxHS4WfFOPRKI2UJ5F4AaABAg,@luisangelakufullmoon7461,"Mi gallo Itadori, vuelve al palenque",0,2025-08-31T16:55:23Z
UgzbMnzr6zgYbkmsHal4AaABAg,@beingtaseer6290,Jjk is back 🔥,2,2025-08-31T16:55:22Z
UgyVNrtdFljKIwRLzcV4AaABAg,@vishalbharti5483,Oh my god my favourite lawyer ... I will wait,0,2025-08-31T16:55:21Z
Ugyb4GhypVgjtN08o3B4AaABAg,@herohondabike1331,m i supposed to be happy when i know gojo eats kitkat.,0,2025-08-31T16:55:19Z
UgzUae_446EI64GMxbJ4AaABAg,@Realist_og,LETS GOOOO,0,2025-08-31T16:55:18Z
UgzP6BfOKI4OOdgCPYh4AaABAg,@willcookmakeup,"Very excited for this. That said though, the animation changed so much in this season",0,2025-08-31T16:55:18Z
UgyVJ-ibU7CxL2yMFwF4AaABAg,@rohanlotlikar3400,Lobotomy Kaisen is finally here,0,2025-08-31T16:55:18Z
UgwdJ6hlTW4wnfX4x0h4AaABAg,@AtifLatif-k1o,why its feel like animation sucks this time? i think fan animations are better then this :(,1,2025-08-31T16:55:16Z
UgwlBFx2ZqiGkgSSJhZ4AaABAg,@RUSFS04,why Animation again this type,0,2025-08-31T16:55:14Z
UgzhhhX9lEqYasp8dvB4AaABAg,@jauntyhero839,I feel like it's gonna be until season 4 until we see the good fights,0,2025-08-31T16:55:12Z
Ugz7Nt61SFaHMqI_0ZV4AaABAg,@ExtraOnROBLOX,WE ARE SO BACK,0,2025-08-31T16:55:12Z
UgwOklch7GN_WUF0PoF4AaABAg,@ErManuxz,CANT WAIT FOR GOJO VS SUKUNAAAAÀ,0,2025-08-31T16:55:09Z
UgxyGlDZkbUybQW0_xt4AaABAg,@Manomebequinho,😳😳🤯🤯🤯,0,2025-08-31T16:55:05Z
UgwDNHIM1SOpjRZiKDx4AaABAg,@MrBreadBoblox,FINAAAAAAAAAAAAAALY pls use jude in gojo vs sukuna ):,0,2025-08-31T16:55:05Z
UgzsM0hio3ztUf_U7cF4AaABAg,@SK7Shinobi,Itadori VS Yuta is gonna be crazyyy 🔥🔥,0,2025-08-31T16:55:05Z
UgyFZ_PyEEn0wUIUstR4AaABAg,@Terminal_patient2,"Everyone, just pretend like it's the first time 🥲",192,2025-08-31T16:55:04Z
Ugx5FUSZyl0OOn4ZlAJ4AaABAg,@julio33472,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,1,2025-08-31T16:54:56Z
UgxdBEOeS1JuRh6c-kN4AaABAg,@eddyjacksonfreefire,Animation got worst ? 😭,0,2025-08-31T16:54:55Z
UgzxOwYRIOpQhSXe1Xp4AaABAg,@missasiants80,Can’t wait 🥺,0,2025-08-31T16:54:55Z
UgxOTmbF9buKbuNZM014AaABAg,@Omar_Amir9182,am i the only one that thinks the animation get worse ?,0,2025-08-31T16:54:55Z
UgzdpMrJLGLgaFZ9BAl4AaABAg,@NI3R,Damn its not gonna bee thr full arc tho wonder how much will be adapted,0,2025-08-31T16:54:54Z
Ugz3wQrYKZW-hz7Ebf94AaABAg,@DRealstruggler,Hum ok?..? Soo...,0,2025-08-31T16:54:53Z
Ugz2eoApYnXAsJuKnip4AaABAg,@STARLORD_0778,Gojo,0,2025-08-31T16:54:53Z
Ugzk_O6bINm_DtL2PBl4AaABAg,@arobloxyt93,ITS FINALLY HERE ONG LESGO THE INTERNET IS COOKED 🙏🙏😭😭💔💔,0,2025-08-31T16:54:50Z
UgwAr-SjtHzuKoVGr7p4AaABAg,@AlkaliAngel,IT'S HERE! IT'S FINALLY HERE!!!!!,0,2025-08-31T16:54:49Z
Ugyhg4nQQgcgaEAuXxZ4AaABAg,@ramsleshkill3497,Я был здесь задолго до вас,0,2025-08-31T16:54:49Z
Ugz3vIIs2HnIs8HlRUF4AaABAg,@ErManuxz,YESSSIIIIIRRRRRR,0,2025-08-31T16:54:48Z
UgzkXVqQnsHR-ONdpAl4AaABAg,@og-dōôm3,Finally,0,2025-08-31T16:54:45Z
Ugwfn-fMWo-L6TfRLg14AaABAg,@JonathanDalmacy,"After 100- no.. *1000* years.. 






*t h e y v e    D o n e    I t . . .*",2,2025-08-31T16:54:40Z
Ugwo4BMBxqd7n2ZH5X94AaABAg,@FunnyAnimals911FP,RIP animators hope they see they're family again,0,2025-08-31T16:54:35Z
UgyFn4AJnkXX4jIpabN4AaABAg,@aartistwithnoface,I love cruncyroll ❤,1,2025-08-31T16:54:35Z
Ugzngd3LOIGzpFl0GA94AaABAg,@EmanueleBianchi-g5h,WHEN?,0,2025-08-31T16:54:33Z
UgwZnIJpXvXvsOQQLV54AaABAg,@PlayfulCloud3,"Still frames on stylized animation is just bad animation,  it looks dead.",0,2025-08-31T16:54:31Z
Ugxr4b5lkMMNWJKfa254AaABAg,@KNU_CKLE,But where is both strongest,0,2025-08-31T16:54:31Z
UgwYgtli70dA8Pv4nkp4AaABAg,@tythepoet30,S3 looks amazing 🤩 I’m so hyped!!!,0,2025-08-31T16:54:30Z
UgyLwdltSEgrO0LOVbt4AaABAg,@amandamakena2325,Finally,0,2025-08-31T16:54:30Z
UgxD4jAMqLR1kjpIdMp4AaABAg,@Neurosurgeon_Pratham,Finally come back Happened 🎉,1,2025-08-31T16:54:28Z
UgwDfuYdTUvI9hPYZtF4AaABAg,@QaisNejim-th9mz,"3 days before my birthday? Damn, I didn't know jjk was chill like that",0,2025-08-31T16:54:26Z
UgyyIXvZpfkzi4IRG254AaABAg,@a-buttonace,Yuta looks like got 2 hours of sleep,0,2025-08-31T16:54:24Z
Ugzr7rQQjNGxN1_epcZ4AaABAg,@nitchzzedits,Let's Goooo,1,2025-08-31T16:54:24Z
Ugwtqwn_FHdKT0bmP_p4AaABAg,@leeeeeeeeemooooooon,Oh my bed ts is so fire,0,2025-08-31T16:54:23Z
Ugw3pmLeTVFNjGFCPVJ4AaABAg,@priapuslevi,cant wait for a bunch of people to spit spoilers out before i can even give it a watch,0,2025-08-31T16:54:23Z
UgxqT_ktewLP3AIKf9p4AaABAg,@Vexonicx,My edit of this is better ig 😅,1,2025-08-31T16:54:22Z
UgxDxDrAbQks9Ufao2B4AaABAg,@owlofthedeep,its all over my screen peak jk is back,0,2025-08-31T16:54:16Z
UgxPAJ4RhQP8Bfhyejd4AaABAg,@niyazkhan1207,Finally. Hell yeah🎉,0,2025-08-31T16:54:16Z
Ugy9evPwkmJG0VmZJHp4AaABAg,@2gbfreefire369,Where is gojo verses sukuna 🤷😭😭😥😓😰😢😷🤕,1,2025-08-31T16:54:16Z
